Poisson (λ = 1),"Uniforme {0, 1, 2}","Binomiale (n=2, p=1/2)","Binomiale (n=10, p=1/10)","Binomiale (n=50, p=1/50)","Bêta-Binomiale (n=2, α=3, β=3)","Bêta-Binomiale (n=5, α=5, β=20)","Bêta-Binomiale (n=3, α=5, β=10)","Bêta-Binomiale (n=10, α=5, β=45)","Négative Binomiale (n=1, p=0.5)","Négative Binomiale (n=10, p=10/11)","Hyper-Géométrique (N=10, n=2, p=0.5)","Hyper-Géométrique (N=100, n=10, p=0.1)"
0.7088506016041546,0.2954546185007536,0.272161424407694,0.3330054186181852,0.7261826851417561,0.09519929868722021,0.22987901086776164,0.0722742764399118,0.7606206005560487,0.8040222748628743,0.8137404707750683,0.17767095816731016,0.6037604439009879
0.522128033364515,0.5895706590546923,0.367482019319312,0.11272961516823299,0.9096222100199024,0.0678736279244877,0.32623556129052556,0.14395470811396094,0.9981606114993684,0.6092487884539048,0.649251138543692,0.11421136462267056,0.4704952043802356
0.4336982740515941,0.6630279533953011,0.20490835751561254,0.2262438607717604,0.9632405763805884,0.05631290528137067,0.07916144602009956,0.2534018561677259,0.8202811485110673,0.45920876277937184,0.9007128468070643,0.033800574081878976,0.5601128250118601
0.5335627364044284,0.27772530916501736,0.19480649277679407,0.18219796517314457,0.6957780774612916,0.1430426971735166,0.07517946253571373,0.13533404247633585,0.9436560327799766,0.7412696268369734,0.6425616413055234,0.1236086514881074,0.5174217304203241
0.6608754917004293,0.25224985204510963,0.07643324589097111,0.11810181549521392,0.8005301772513643,0.01541165041791266,0.3157733599795295,0.30873785780727714,0.9422932597497058,0.7947519451293272,0.7536872065117015,0.1761529827077023,0.8543580132815892
0.7159229960456659,0.29067173073509334,0.1906156408663524,0.08860420511304878,0.4936573606059075,0.0411159548495571,0.1903883048399877,0.13567841432126404,0.7594785264310174,0.380610323293586,0.79503210039276,0.4014205719326638,0.9055679616099459
0.9068655715697088,0.42672098640932976,0.24951031316894412,0.14464349951195732,0.2571565568198826,0.11852489948728795,0.03416829971378965,0.33073260426727336,0.7936003009790129,0.7325665314613101,0.746544183173718,0.28743648628947804,0.5174353135728154
0.49640593142772915,0.23876641526128317,0.20355386297019185,0.29079619759862774,0.387585511159689,0.17795377251023803,0.022929490318903817,0.3111528142176577,0.45242610323056054,0.6611593694669058,0.9559013382561165,0.25174962646488974,0.7689623265614851
0.6132018088916984,0.30536733768495017,0.09516694858168218,0.31603263242546886,0.3810516250712441,0.18176700957823244,0.36598071799851817,0.30438882031431225,0.30346123074822096,0.6814224262534292,0.5995111585956718,0.3347492052357053,0.37771531228996025
0.3319840294803914,0.10878452452805054,0.12488791820267275,0.5325491616991657,0.47051989542514416,0.3890597501645635,0.2710595845354229,0.4469248908384704,0.7576713897159332,0.19078321577059354,0.9723307406208406,0.1862961246046544,0.8972860898285943
0.23954189688998573,0.3056600093220482,0.09120165607890829,0.5964605371005655,0.3194648092120117,0.483728445367831,0.5332709132575368,0.7516711725479686,0.7670495446163303,0.32773774670541456,0.521709252578209,0.6200713552290082,0.4761944447125397
0.3273345401518616,0.22220675005157042,0.05255161098122063,0.7211856482305925,0.10763975316706087,0.4897423862334914,0.5640101809792208,0.706273566295216,0.8322599193393496,0.1514860210324307,0.5622508091345518,0.46902744076746583,0.5933383268345382
0.3996519132733688,0.5342045128877755,0.13638699504623697,0.603049615814097,0.3262641020350304,0.21469945318766515,0.7918298552786169,0.5371449598063007,0.5017018826178361,0.2132532802818421,0.7901409180805692,0.3224449602300704,0.548205238887167
0.3379344492531896,0.7149483062550975,0.1644754712484392,0.6462644966828326,0.23406590146766026,0.07827517350761115,0.6980528915008244,0.6067846738884456,0.5184554290453911,0.13684197657099162,0.6614889978276317,0.3669131441297757,0.5463605778412619
0.3139299122239314,0.45241924220411533,0.18313194660750576,0.670262014978054,0.22619448583908408,0.20604875250944577,0.9260137408943323,0.7966477425390359,0.46638378701377636,0.1783415340704726,0.5434458421895595,0.12324791732638518,0.8366112018716377
0.25111047450561197,0.75603437931271,0.21276823092003871,0.9691318857500874,0.3327197745854217,0.5582398451147017,0.7533361577117288,0.9085629508719397,0.5102586250200083,0.12025207066121513,0.7524059956557111,0.046766247691930274,0.83493800348215
0.2183746061744204,0.410310929988457,0.1733552192216966,0.9099992407515141,0.22674335375274512,0.521176003461955,0.7653500252124364,0.7600797470590441,0.4235887122924735,0.20380812897945222,0.8154061379439703,0.15573075359170296,0.8536791597534478
0.5357432094868182,0.7502924426391396,0.19866943964952632,0.9287195534025585,0.4693353799796922,0.6171085321873806,0.684306156976124,0.7824719269905461,0.7759594137449075,0.16148398851370138,0.8566367801597978,0.07906225861509786,0.9496738928623463
0.8338663242879885,0.4871481748459471,0.2484312175814457,0.6498380140726405,0.6096307180973084,0.8115092465385191,0.3689500462028906,0.833210360502473,0.8324465207984864,0.22158703683781567,0.8015245105758464,0.18161822300642838,0.6281983717118571
0.8686888384432297,0.47793183228687797,0.4732218642476861,0.788549943164842,0.4868139632641608,0.632857097705197,0.48960577204871614,0.9035234997692374,0.9399325567079843,0.018501769854954747,0.8028828099467474,0.25611950945909256,0.8209873660916461
0.9834402868327543,0.7721413747012137,0.40569849652151935,0.8587777593614803,0.5333571490034326,0.46439786658486903,0.8007619089179058,0.9030840661075219,0.5882127310004273,0.0827438149112828,0.9871041498437285,0.1401984446090796,0.4113747748113378
0.9304691651792273,0.5620746284853317,0.537706189646514,0.7885451783355393,0.20264621180722708,0.15157346900554836,0.683865366656757,0.8940429679237252,0.6120487786677424,0.14002802615681142,0.7186601718102141,0.20683174335288723,0.6537132133054553
0.993232496185542,0.5498115937698734,0.3870765121439883,0.8820769946916172,0.6380955954582614,0.2139793440629908,0.6440991193300003,0.7836924259571553,0.6824170867006549,0.07584583074523576,0.8725922440545424,0.04911803374965806,0.7856669312647667
0.9524818793328056,0.5849289149385142,0.09519276752610162,0.8826074037493243,0.12591764347547008,0.1399618563188948,0.42444413840522144,0.9300508367007272,0.6659150138489297,0.3062116506815262,0.6252923346774083,0.19204258559897658,0.6677685677478936
0.5737734824269013,0.7121406705136362,0.13986375155989939,0.9682885637312888,0.18996874333271385,0.10933706491254025,0.520657187605942,0.6026256971127919,0.5508411907347167,0.2791598678906433,0.7990218478327484,0.09491113709234344,0.5580128427095461
0.35266016480029516,0.3846729203512098,0.14292695925879562,0.9776169338306648,0.14022612359697262,0.3054797106894146,0.4969804763704332,0.5079198771404106,0.567409476539281,0.30389392747373034,0.5590634118426369,0.19058853638668005,0.2691918134681258
0.5632506668501374,0.23330944235987094,0.04447684721670064,0.9013660924687783,0.08391892472542894,0.7883304018104059,0.5492052180636566,0.7108058628610943,0.559306759581983,0.4767846355513937,0.8934444705264267,0.07952602382090213,0.5667664465518012
0.6515131183719012,0.33001285300203664,0.09944270091656493,0.9837247619797036,0.07522859648018188,0.380894677856807,0.6389753769818298,0.6985211129608921,0.4140771485922249,0.2136065628573951,0.9811007883735746,0.046324871056472205,0.7537275681924107
0.7573624217621433,0.5802865379391808,0.14910708625025348,0.9206736509121967,0.35765348412825027,0.6695115252831011,0.535835029890753,0.9277819325478812,0.3309523458624899,0.4851457734532294,0.8545347296190553,0.1423122807885303,0.5399851047657975
0.564480526260156,0.4195437839803242,0.1534859534917864,0.8335206687727315,0.45165603945823096,0.7387555584707814,0.7822696634501425,0.9535849965421113,0.12774160465892126,0.4847594341903124,0.8416465882806166,0.1274040466002203,0.483488091539953
0.558444309515577,0.24209382114406452,0.19158292092239926,0.9235071646750483,0.7996443599681027,0.7705743537816713,0.7724331987352786,0.6995153083802284,0.5145357287403105,0.3696361810531559,0.9743609530515404,0.1733027435330633,0.4659993472880559
